Абдоминопластика  Косметическая операция в области живота, формирование талии.
Маргинал  Находящийся на грани или за пределами чего-то основного. Изгой общества, противоположность истеблишмента.
Маркитант  Мелкий торговец, в старину сопровождавший армии в походах, в современном употребление – торгаш.
Мачизм  Нарочитая показная мужественность, современный термин от популярного слова «мачо».
Машинерия  Совокупность машин и механизмов в солидном количестве.
Меандр  Равнинная река с петляющим руслом.
Мегалит  Сооружение из крупных каменных глыб.
Мезальянс  Неравный брак с лицом более низкого положения, союз в неравным партнером.
Мемомагнетика  Коллекционирование магнитиков на холодильник.
Меморандум  Справочный документ, фиксирующий некоторые факты, обстоятельства.
Меритократия  Власть наиболее способных представителей общества.
Меркантильность  Мелочность, следование корыстным интересам.
Метаболизм  Обмен веществ, а также направление в архитектуре, характеризующееся динамической изменчивостью: долговременные постройки сочетаются с временными.
Метанойя  Перемена в восприятии событий, явлений и фактов, вызванная сильным переживанием, вплоть до изменения взглядов на жизнь и личных принципов на полностью противоположные.
Метафизика  Изначально учение о картине бытия, стоящее на недоступных опыту принципах (в противоположность познанию). Также что-то необъяснимое научной логикой, сильно отвлеченное и умозрительное.
Метафора  Слово или выражение в переносном значении на основе образного сближения слов и понятий. Может использоваться для объяснения и описания сложных или запретных объектов и действий на примере более простых и доступных. Или, наоборот, что-то обыденное описывается как что-то поэтически возвышенное.
Метемпсихоз  Перерождение, перенос души после смерти в новое тело.
Метеоризм  Это не про погоду и не про небесные тела: всего лишь болезненное избыточное скопление газов в пищеварительной системе.
Метонимия  Литературный и риторический приём, когда слово, обозначающее явление или предмет, подменяется другим словом в переносном значении. Например, «мы все под колпаком у Мюллера», т.е. под наблюдением.
Миазм  Ядовитые испарения, вонь, смрад, запах гнили…
Мизандрия  Мужененавистничество, патологически ненавистное восприятие мужчин и всего мужского со стороны некоторых женщин
Мизансцена  Расположение актеров на сцене. В широком смысле – расстановка действующих лиц.
Мизогиния  Ненависть и неприязненное отношение к женщинам. Присуще не только некоторым мужчинам, но и некоторым женщинам.
Мизофобия  Боязнь грязи и бактерий, навязчивый патологический страх перед заражением и загрязнением.
Милленаризм  Вера в тысячелетнее царство бога и праведников накануне конца света. Хилиазм – тоже самое.
Мимесис  Творчество, как подражание реальности.
Миниппея  Вид сатирического жанра.
Миноритарий  Акционер компании, имеющий количество акций, недостаточное для участия в управлении.
Митраизм  Древняя религия, распространенная в начале нашей эры в Римской Империи. Основана на культе божества Митры, уходящего корнями в иранскую мифологию. Полностью вытеснена христианством, ставшим государственной религией Рима.
Мнемоника  Методики и способы, повышающие способности к запоминанию и увеличивающие объемы памяти через искусственно создаваемые ассоциации.
Моветон  Дурной тон, невоспитанность.
Модальность  Грамматическая категория, обозначающая отношение содержания предложения к действительности и выражающаяся формами наклонения глагола, интонациями, вводными словами.
Модерн или Модернизм  Направление в искусстве, опирающееся на современные и актуальные техники и образы, отрицающее прошлые стили, как устаревшие. В широком смысле – нечто современное.
Моджо  Изначально африканский магический амулет (оберег) на счастье и удачу, в современных культурах слово стало обозначать позитивное состояние, что-то типа обаятельной харизмы, которую, кстати, можно и утратить.
Молеософия  Псевдонаука, связывающая родинки на теле человека с его характером и судьбой.
Мондо  Жанр якобы документального кино сенсационной тематики, где репортажная съемка перемежается постановочными вставками.
Монетаризм  Экономическая мысль, рассматривающая количество денежной массы в обороте определяющим фактором развития экономики.
Монизм  Направление в философской мысли, признающее только одно начало в основе бытия – либо дух, либо материю. Двойственное начало (дух и материя) признаёт дуализм, множественное начало – плюрализм.
Мононим  Полное имя человека, состоящее из одного слова, вместо привычных имени, фамилии и отчества. Как правило, в нашей культуре это псевдонимы или устоявшиеся прозвища – Платон, Вольтер, Стинг, Чиччолина … Нередко от полного имени в истории и памяти людей остается только одна составная часть – Микеланджело, Пиночет…
Мораторий  Отсрочка или воздержание от исполнения обязательств.
Морганатический  Неравноценный брак с точки зрения знатности.
Мотто  Остроумный эпиграф в виде афоризма.
Мурмурация  Природное явление из жизни птиц, когда огромные стаи в движении гармонично трансформируются в различные меняющиеся объемные фигуры.
Мутуализм  Вид симбиоза, при котором организмы-сожители приносят друг другу пользу.
Нагуализм  Оккультно-мистическое учение, восходящее к индейской магии, описанной Карлосом Кастанедой, основанное на существовании невидимой энергии и умении ею управлять.
Нарратив  Рассказ, описывающий некие фактические события, изложенные в авторском стиле интерпретатора.
Нарциссизм  Самолюбование и самовосхищение.
Натуропатия  Лечение природными средствами.
Некрофилия  Влечение к трупам.
Непотизм  Кумовство и семейственность во власти: раздача должностей и прибыльных мест своим родственникам.
Нивелирование  Уравнивание, сглаживание различий.
Никталопия  «Куриная слепота», неспособность или сниженная способность видеть в сумерках и при слабой освещенности. Другой термин –  Гемералопия.
Никтофобия  Страх перед ночью и бессонницей, навязчивый страх темноты.
Нобилитет  Социальный слой знатных людей.
Нозология  Раздел патологии, изучающий сущность и характер течения болезней.
Нокталопия  Способность видеть в темноте – ночное, сумеречное или «кошачье зрение». В противоположность Никталопии – «куриной слепоте».
Нотабене  «Обратите внимание». Также в печати встречается как знак «NB». От латинского nota bene.
Нутрициология  Наука о питании.
Обсессивность  Существование побуждений при отсутствии их реализации.
Обсессия  Навязчивые и непреодолимые психические состояния, такие как: тягостные мысли и воспоминания, непроизвольные страхи, подавляющие волю сомнения.
Обскурантизм  Мракобесие, противостояние просвещению и науке.
Обструкция  Вид протеста: действия, направленные на срыв публичного мероприятия, заключающиеся в создании разного рода помех и безобразий.
Обфускация  Запутывание. В программировании – шифровка открытого кода.
Оверселлинг  Продажа услуг или товаров сверх реальных возможностей.
Ойкумена  Заселенная, обжитая и освоенная человеком (человечеством) территория.
Окказиональный  Используемый случайно или ситуационно – с оказией. Антоним – узуальный.
Окклюзия  Скрывание, поглощение или растворение.
Оксюморон  Сочетание несочетаемого. Стилистическая фигура – сочетание слов в противоположным значением, напр., «горячий снег». Или разговорное: «Хочешь чаю?» «Да, нет, пожалуй…»
Олигархия  Государственное устройство (или само государство), при котором власть принадлежит узкой группе лиц, помимо власти удерживающих в своих руках крупный капитал и финансы страны.
Олигоменорея  Нарушение женского менструального цикла, характерно редкими и кратковременными менструациями.
Ольфакторный  Метод измерения остроты обоняния втягиванием в нос пахучих веществ из закрытых сосудов.
Оммаж  Ритуал заключения вассального договора с принесением клятвы верности вассала своему сюзерену.
Омофон  Слова, звучащие одинаково, но пишущиеся по-разному: «порог» и «порок», «u2» и «you too».
Ономастика  Область лексикологии, занимающаяся именами собственными: именами, географическими названиями и т.п.
Онтогенез  Индивидуальное развитие организма.
Онтология  Индивидуальное развитие отдельно взятого живого существа от его зарождения до окончания жизни.
Оппортунизм  Беспринципное соглашательство, приспособленчество.
Органолептика  Метод оценки качества «на вкус и на цвет», т.е. при помощи органов чувств – зрения, обоняния, слуха, вкуса, осязания.
Орфоэпия  Область языкознания, отвечающая за нормы правильного литературного произношения языка, его единообразия.
Осмос  Естественное движение растворителя через мембрану (перегородку) из менее концентрированного раствора в более концентрированный. Например, чистая вода будет стремиться проникнуть через стенки органических клеток, насыщенных солью.
Остракизм  Изгнание, гонение. Термин из древнегреческой истории.
Осцилляция  Колебание. Осциллограмма – графическое отображение колебаний, осциллограф – прибор для наблюдения и фиксации наблюдаемых параметров, осциллятор – устройство для возбуждения колебаний.
Оферта  Предложение заключить сделку.
Палиндром  Слово или фраза – перевертыши, например, «заказ» и «а роза упала на лапу Азора».
Паллиатив  Действие или средство, не устраняющее проблему, но позволяющее отложить ее решение, полумера.
Пандемия  Эпидемия, охватывающая значительную часть крупной территории (государства)
Пандемониум  Демоническое место, сборище нечистой силы.
Панегирик  Безудержная лесть, чрезмерное и неоправданное восхваление кого-либо.
Пантеизм  Отождествление бога с природой.
Парадигма  Базовая концептуальная схема, характерная для некоторого периода времени, лежащая в основе определения и оценки проблем, и их решения, комплекс господствующих течений в науке.
Паранойя  Психическое расстройство, характеризуемое стойким систематизированным бредом, обуславливающим поступки и действия (напр. мания преследования).
Паранормальное  Явления и объекты, которые принимаются как существующие, но не имеющие научных доказательств и объяснений. Например, НЛО, телекинез, полтергейст, левитация и другие «чудеса», наблюдаемые некоторыми людьми. Сопровождается невероятными фантазиями и псевдонаучными спекуляциями. Популярная неисчерпаемая тема в массовой культуре.
Парафилия  Принцип эволюции групп организмов, заключающимся в независимом приобретении ими сходных черт строения на основании особенностей, унаследованных от общих предков.
Парафирование  Предварительное, не официальное, подписание международного договора.
Парафраз  Дословный пересказ своими словами, краткое упрощенное изложение.
Пароксизм  Болезненный припадок или бурное душевное возбуждение.
Пароксизмальный  Приступообразный.
Пассеизм  Чрезмерное пристрастие к прошлому, при этом равнодушное или пренебрежительное отношение к настоящему.
Пассионарность  Способность человека или группы людей увлекать за собой остальных на некие грандиозные свершения. Для пассионариев характерны крайние формы увлечённости, идейной одержимости и пониженный порог инстинкта самосохранения.
Пастиш  Художественное произведение, имитирующее стиль другого автора, или вовсе состоящее из фрагментов уже ранее созданных работ.
Патернализм  Покровительство, иерархическая опека.
Пауперизация  Массовое обнищание, нищета.
Пейоративный  Неодобрительный, содержащий отрицательную или уничижительную оценку.
Пеладофобия  Боязнь облысения.
Пенитенциарий  Тюрьма, «зона» или другое исправительное учреждение для уголовников. Исторически один из видов католического суда.
Пентименто  Рисование новой картины поверх старой или частичное закрашивание, дорисовывание некоторых деталей.
Перверсия  Половое извращение как таковое.
Пертурбация  Неожиданное и внезапное изменение ходя событий в проблемную сторону.
Перфекционизм  Стремление к совершенству, следование завышенным идеалам, повышенная требовательность к себе и окружающим. Может рассматриваться как положительная черта личности, но также может восприниматься как патологическая форма невротического расстройства.
Перцепция  Неосознанное восприятие и внутренняя интерпретация окружающей действительности на уровне физиологии.
Плеоназм  Употребление в речи или тексте лишних слов, не добавляющих смысла, но усиливающих выразительность, например, «путь-дорога».
Плеонастичность  Избыток слов, много лишнего в тексте.
Плерома  Религиозный термин, означающий полное и цельное присутствие духовных начала, что доступно только богу и характерно для него.
Плюмаж  Украшение из перьев на головных уборах.
Плюрализм  Многообразие или множественность, как в приземленном, так и в философском контексте. Монизм – когда наоборот – что-то одно. Дуализм признает лишь двойственность.
Полиморфизм  Наличие в пределах одного вида особей, резко отличающихся друг от друга (половой, возрастной, сезонный). Способность некоторых кристаллических веществ образовывать несколько различных по физ. свойствам модификаций без изменения состава вещества.
Политес  Вежливость, учтивость.
Полтергейст  Проявление неких мистических сущностей в виде звуков, перемещения предметов и других действий. Паранормальное явление, не имеющее на данный момент научного объяснения, доминирующая гипотеза – тайные действия психически нездоровых людей.
Постмодерн или Постмодернизм  Направление в культуре и искусстве, для которого «доступно всё», вбирает в себя авангард и все эклектические течения. Если Модерн определял что-то, как устаревшее, то для П. годно всё – старое и новое, низкое и высокое…
Постулат  Истина, принимаемая без доказательств.
Преамбула  Вводная часть какого-то крупного текста, обосновывающая его.
Пребенда  Доходы католической церкви от оказания религиозных услуг населению.
Предикативность  Свойство слова или фразы, которые используются для выражения ощущений по отношению к действительности (субъекту).
Предиктор  Средство прогнозирования или факторы лежащие в его основе. Употребляется в разных научных сферах.
Презумпция  Предположение, основанное на вероятности. В юридическом контексте – признание факта достоверным, пока не доказано противоположное. Например, презумпция невиновности и, наоборот, виновности.
Прекариат  Социальный слой, состоящий из работников с непостоянной занятостью и низким нестабильным доходом.
Препуций  Крайняя плоть (анатомия).
Прерогатива  Преимущество, исключительное право в силу занимаемого положения, право первой очереди.
Прескриптивизм  Правила правильной речи — установленные или неформальные нормы того, как надо говорить. С другой стороны, дескриптивизм – то, как говорят в реальности.
Преференция  Некие льготы по предпочтениям.
Прецедент  Случай имевший место ранее и являющийся типическим для рассмотрения подобных случаев.
Прецессия  Движение оси вращающегося тела по характерной конической траектории.
Прецизионность  Точность.
Примогенитура  Престолонаследие по факту первородства.
Пробоно  Безвозмездная деятельность, благотворительность. От латинского pro bono.
Провокация  Умышленное побуждение кого-то к совершению опасных и незапланированных действий с вероятными тяжелыми последствиями.
Продуцент  Автотрофные организмы, создающие органические вещества из неорганических.
Прозелитизм  Страстное стремление обратить в свою веру, миссионерство. Прозелит – активный или вновь обращенный приверженец чего-то.
Прокрастинация  Нездоровая склонность человека к постоянному откладыванию дел «на потом».
Пролиферация  Разрастание живой ткани, путем деления клеток, нормально при росте организма, патологично при образовании опухолей.
Пролонгация  Продление срока действия договора сверх предусмотренного.
Промискуитет  Беспорядочные, ничем неограниченные половые связи внутри некоего сообщества.
Прононс  Характерно иное произношение звуков другого языка. Слово французское, поэтому обычно используется для описания французской речи или акцента.
Прострация  Истощенность, упадок сил, сопровождающийся безразличием к окружающей действительности.
Протеже  Человек под покровительством более значимой персоны.
Протоплазма  Содержимое живой клетки, включая цитоплазму и ядро. В ненаучном контексте часто употребляется как определение бессмысленной живой материи.
Профит  Выгода, прибыль.
Процессуальность  Разделение целого на части обусловленные каким-либо признаком.
Пубертатный  Связанный с половым созреванием.
Пуризм  Строгое стремление к чистоте нравов, также стремление к чистоте литературного языка.
Раритет  Редкая ценная вещь.
Регламент  Совокупность правил и норм определяющих проведение каких-либо мероприятий или функционирование организаций.
Регресс  Упадок в развитии чего-либо, движение назад.
Редукция  Переход от сложного к простому, ослабление чего-либо.
Резонанс  В физике увеличение амплитуды колебаний при совпадении с внешними гармоническими воздействиями. В общем смысле реакция на некое явление, отголосок чего-либо. Резонировать – находиться в состоянии резонанса.
Резюме  Краткое изложение сути чего-либо в качество обобщающего итога.
Реинкарнация  Перерождение души.
Рейдерство  «Свободная охота», действия с целью захвата, а иногда и уничтожения, чужой собственности.
Рекогносцировка  Осмотр местности перед проведением каких-либо работ (боевых действий).
Рекреация  Помещение или комплекс мероприятий для организованного отдыха.
Рекурсия  Возврат к начальному состоянию, «самоподобие» при описании и определении явлений. Например, как иллюстрация явления: два расположенных друг напротив друга зеркала или бесконечные «возвращающиеся» сказки «про белого бычка» или «попа с собакой».
Релятивизм  Признание невозможности полного познания мира и отрицание абсолютной истины: «Я знаю, что ничего не знаю».
Реляция  Сообщение или донесение от подчиненного начальству.
Реминисценция  Отголосок, след какого-то творческого произведения в новом произведении, невольное или иногда сознательное заимствование. Также просто смутное воспоминание, имеющее следствие в текущих событиях.
Реноме  Репутация, мнение о ком-либо.
Репарация  Возмещение побежденной стороной материального ущерба в результате военных действий победителю.
Репрезентативность  Представительность, показательность.
Ретардация  Композиционный прием в литературе, заключающийся в затягивании повествования с помощью отступлений, рассуждений, пространственных описаний, вводных сцен...Ретардация в медицине и психологии — задержка в физическом или умственном развитии по сравнению с ровесниками или предыдущими поколениями.
Реферал  Человек, привлеченный в партнерскую программу (интернет-маркетинг).
Референция  Характеристика или отзыв о ком-то или о чем-то.
Рефлексия  Размышление о своем внутреннем состоянии, самоанализ.
Рецептивная позиция  Готовность к принятию, в переносном смысле униженное положение.
Рецепция  Восприятие.
Рецессия  В экономике медленный и некритичный спад производства и деловой активности.
Ривайвелизм  Некогда религиозное протестантское движение, сейчас в широком смысле – движение по возрождению чего-либо.
Ригидность  Негибкость, неподатливость, оцепенелость, обусловленная напряжением мышц. Состояние, при котором снижена приспособляемость, переключаемость психических процессов к меняющимся требованиям среды.
Ригоризм  Строгое и фанатичное следование нормам и принципам, дотошный формализм «человека в футляре».
Секвестр, секвестирование  Ограничение на использование, например, урезание бюджета.
Секуляризация  Перевод церковной собственности в светскую.
Селфхарм  Самостоятельное причинение себе боли и увечий, возникает как результат тяжелых эмоциональных переживаний или психических расстройств.
Семантика  В языкознании исследование смыслового наполнения единиц языка (слов, словосочетаний, частей слова). Основная часть семиотики.
Семиотика  Исследование способов передачи информации, свойств знаков, символов и других информационных носителей.
Сенильный  Старческий.
Сенситивность  Чувствительность.
Сенсорный  Чувственный, чувствительный к контакту в технике, относящийся к органам чувств в физиологии. Сенс – современное заимствование из английского языка, т.е. чувство, ощущение.
Сенсуализм  Система познания, признающая чувственные переживания как основу и главную форму достоверного познания.
Сентенция  Нравоучение.
Сервильность  Раболепие, угодливость.
Сибаризм  Праздность, избалованность роскошью. Сибарит – носитель этих качеств.
Сикофант  Профессиональный стукач и шантажист во времена Древней Греции. В английском языке термин трансформировался и устоялся как льстец и подхалим. Слово можем встретить в том и другом значении.
Силлогизм  Логическое умозаключение, в виде вывода, вытекающего из двух фраз-утверждений: у кошек четыре ноги, Муся – кошка, следовательно, у нее четыре ноги.
Симбиоз  Совместное существование двух организмов разных видов. Бывает взаимовыгодный – мутуализм, а также паразитический.
Симония  Продажа и покупка церковных должностей, в широком смысле – любых должностей.
Симулякр  Изображение или объяснение того, что в реальности не существует. Копия, не имеющая оригинала.
Сингулярность  Единичность, неповторимость чего-либо.
Синдикация  Объединение процессов, информационных потоков.
Синдром  Сочетание характерных признаков (симптомов), вызванных заболеванием, но может обозначать и самостоятельное заболевание. Также сам признак (симптом).
Синекура  «Выгодное место», должность с хорошей оплатой и практическим отсутствием обязанностей.
Синергия  Совместное действие каких-либо составных частей внутри системы.
Синклит  Собрание высокопоставленных персон.
Синкретизм  Неразделенность какого-либо явления, воспринимаемого как единое целое. Также эклектика, как неорганическое сочетание разнородных, порой противостоящих друг другу элементов.
Синопсис  Изложение некой темы в сильно сжатом и обобщенном виде.
Скаляр (скалярный)  Величина, выражаемая одним числом. Наоборот – вектор (векторный) – величина, выражаемая помимо числового значения ещё и направлением.
Сколопендра  Род ядовитых членистоногих класса губоногих длиной до 30 сантиметров, укус некоторых тропических смертелен для человека, встречающихся на территории России болезнен, но не опасен.
Скрапбукинг  Декоративная техника и принципы оформления альбомов с фотографиями, открытками, вырезками и другими подобными объектами.
Собриология  Концепция и теория трезвого образа жизни, наука о трезвости, как естественном состоянии организма.
Солипсизм  Эгоизм в своих крайних формах проявления, полное игнорирование интересов окружающих. В философском контексте – субъективный идеализм, отрицающий объективное существование реальности.
Соматический  Относящийся к телу человека.
Сотериология  Учение о спасении (религиозный термин).
Софистика  Использование заведомо ложных, обманчивых доводов (софизмов) и словесных ухищрений при отстаивании своей точки зрения, даже вопреки логике.
Социопатия  Антисоциальное расстройство личности. Психическое отклонение, для которого характерно игнорирование (невозможность соблюдения) общественных норм, агрессивность, неадекватное поведение на людях.
Спорадический  Непостоянный, случайный, являющийся иногда, от случая к случаю.
Спуфинг  Подмена, выдача себя за другое лицо. Современный термин из сферы цифровой безопасности и фальсификации данных. Например, когда злоумышленник ведет электронную рассылку, но в качестве отправителя указывает чей-то почтовый ящик.
Стазис  Состояние полного покоя, когда все внутренние и внешние воздействия компенсируют друг друга.
Стимминг  Аутостимуляция – бесцельное повторяющееся движение. Поведение, характерное для людей с психическими отклонениями.
Стимпанк  Направление фантастики, в основе которого лежит описание альтернативной действительности, где технологический прогресс не выходит за пределы использования паровой энергетики и механики.
Стохастический  Вероятностный, случайный.
Стратификация  Распределение свойств по вертикали.
Сублимация  Высвобождение аффективной энергии через творчество и активную общественную или иную деятельность.
Субординация  Система подчинения «младших» «старшим».
Субстанция  Объективная реальность: материя или дух, на выбор.
Суггестия  Внушение, воздействие на психику, вызывающее несвойственные личности поступки.
Суккубус  Злой дух ночи в женском обличии, приходящий в эротических снах (ср инкубус).
Супремасизм  Система взглядов, предполагающая превосходство группы лиц с некими качествами над другими, не имеющими этих качеств. Превосходство и, как следствие, доминирование может определяться по национальному, расовому, религиозному, социальному признаку.
Супрематизм  Направление в абстрактном искусстве начала 20-го века, для которого характерны пестрые композиции из геометрических фигур.
Суфражистка  Участница движения за предоставление женщинам избирательных прав (конец XIX — начало XX веков), феминистка иными словами.
Суффозия  Вымывание мелких минеральных частиц и растворённых веществ из толщи горных пород.
Схоластика  Оторванное от жизни умствование. Изначально учение, сочетавшее в себе религиозно-догматические идеи и рациональные методы познания.
Сциентизм  Мировоззренческая позиция, представляющая роль математики и других точных наук в жизни общества выше, чем культура и духовность.
Сюзерен  Вышестоящий феодал, господин вассала.
Тавтология  Сочетание одинаковых или близких по смыслу слов (например, «масляное масло»), также использование в толковании какого-то понятия словесных форм этого же понятия (например, «астроном – ученый, изучающий астрономию»).
Таксидермия  Изготовление чучел животных.
Таксономия  Систематизация структур и объектов.
Тактильный  Осязательный.
Танатофобия  Навязчивый страх смерти.
Тафономия  Область палеонтологии, изучающая естественные захоронения животных и растений.
Телегония  Учение о влиянии генотипа первого самца женской особи на наследственные признаки ее потомства от последующих партнеров.
Телекинез  Способность человека усилием мысли и воли оказывать механическое воздействие на предметы: перемещать, менять форму; Широко описаны разные случаи, но нет ни одного научно обоснованного подтверждения.
Телеология  Философское течение, основанное на том, что все явления и действия заранее предопределены высшей силой.
Териантропия  Способность человека превращаться в животное, иными словами – быть оборотнем. Распространено в мифологии, живет и в фантазиях людей.
Тесселяция  Мозаичное заполнение сплошных текстур одной фигурой или объектом.
Тесситура  Уровень звуков по высоте в музыкальном произведении, соответствующий возможностям солирующего исполнителя.
Тестемониум  Вид рекламы, использующий образ человека, как правило, некой известной и популярной персоны, что повышает авторитетность рекламируемого объекта и благосклонность к нему.
Трайбализм  Культурная, религиозная или общественная обособленность этнической группы.
Транзиторный  Переходный, проходящий, временный.
Трансгрессия  Более яркое и сильное проявление неких признаков у представителей нового поколения по сравнению с предыдущими.
Транскрипция  Запись иноязычной устной речи средствами другого языка или символами с целью максимально точной передачи звучания.
Транслитерация  Запись слов одного алфавита, буквами другого. Например, «naprimer». Для переноса русских слов в латиницу есть соответствующие стандарты.
Транспарентность  Прозрачность, открытость.
Транспирация  Процесс прохождения воды через растение – от попадания через корневую систему до испарения через листья и другие наружные органы.
Трансцендентальный  Максимально обобщенный, изначально присущий разуму, но не приобретенный.
Трансцендентный  Выходящий за пределы познания и земного опыта. Трансценденция – религиозная субстанция.
Тред  Линия, ветвь обсуждения.
Трейдер  Участник биржевых торгов.
Тренд  Актуальная тенденция, «гвоздь сезона».
Триангуляция  Метод геодезических исследований, основанный на построении систем смежных треугольников с целью последующих тригонометрических вычислений.
Триггер  Причинное событие или явление. В узком изначальном смысле – пусковой механизм или пускающий элемент механизма.
Трикстер  Шутник, хитрюга и обманщик.
Трискаидекафобия  Боязнь числа «13», основанная на предрассудках.
Троллинг  Провокационное поведение в интренет-общении направленное на изменение темы разговора и разжигание конфликтов. Термин активно входит в реальную жизнь. Тролль – лицо, совершающее провокационные действия.
Трюизм  Общеизвестная, избитая истина.
Тульпа  Материализованное видение или фантазия. Персональная или коллективная галлюцинация, максимально реалистичная.
Турбулентный  Вид бурного течения жидкости или газа, при котором частицы в целом движутся в едином потоке, но с перемешиванием.
Тутти  Фрагмент музыкального произведения или произведение полностью, исполняемые всем составом оркестра.
Тьютор  Индивидуальный наставник при дистанционном или самостоятельном обучении.
Узуальный  Обычный, общепринятый. Антоним – окказиональный.
Ультиматум  Решительное и бескомпромиссное требование, сопровождаемое угрозой.
Урбанизация  Процесс и факт концентрации населения и производства в городах.
Ургентный  Незамедлительный, безотлагательный.
Утилитарность  Исключительная практичность.
Фамильяр  Мифологический дух в виде реального или фантастического животного, сопровождающий ведьму или мага.
Фанаберия  Спесь, надменное чванство, неоправданное высокомерие.
Феминизм  Идеология и социально-политическое движение за равные права женщин в обществе наравне с мужчинами. Изначально прогрессивная идея в настоящее время принявшая гротескные и деструктивные формы.
Феминитив  Словоформа женского рода, соответствующая устоявшемуся слову мужского рода. Например, поэт и поэтесса.
Фертильность  Возрастная способность организма производить потомство.
Фетиш  Предмет слепого неосознанного поклонения.
Фиаско  Полный провал в делах, абсолютная неудача в чём-то.
Фидбэк  Обратная связь.
Фидуция  Сделка на доверии.
Физиогномика  Учение о соответствии черт лица и внешнего вида человека его характеру и мыслям. В широком смысле описание скрытых внутренних черт по внешнему облику.
Фикология  Наука, изучающая водоросли.
Филактерия  Амулет или талисман.
Филигранность  Профессионализм, точность в мелочах.
Филистерство  Примитивное обывательское поведения и мещанское самодовольство. Филистер – узколобый обыватель.
Фичеризм  Чрезмерное добавление дополнительных возможностей, опций, функций к неким технологическим системам (механизмы, программное обеспечение), что в итоге приводит к общему ухудшению работы по выполнению основной задачи.
Фланкировка  Искусство владения холодным оружием у казаков – шашка, пика, нагайка. Гармоничное кручение с перехватами.
Флатуленция  Выход газов из кишечника наружу.
Флюктуация  Случайное отклонение величины от среднего значение.
Фразеологизм  Или фразеологический оборот – устоявшееся в языковой культуре словосочетание со своим самостоятельным смыслом: «валять дурака», «бить баклуши» и пр.  То же самое, что идиома.
Франшиза  Коммерческая концессия, т.е. право использования одной стороны возможностей и ресурсов другой стороны, в самом упрощенном и общем смысле – аренда торговой марки.
Фраппировать  Неприятно удивлять.
Френетизм  Неистовство, бешенство.
Френология  Теория, связывающая психические и интеллектуальные особенности человека с формой его черепа.
Фрик  Чудак, необычный человек, отличающийся своим внешним видом и поведением от устоявшихся стереотипов. Как правило, это осознанный выбор человека – творческий и социальный вызов.
Фриланс  Метод организации независимых взаимоотношений профессионального специалиста – фрилансера – с работодателем, подразумевающий работу по разовой договоренности с целью выполнения конкретной задачи.
Фронда  Демонстративная наигранная оппозиционность.
Фрустрация  Состояние подавленности, тревоги, возникающие в результате крушения надежд, невозможности осуществления целей.
Фугитивный  Недолговечный, краткого действия (в частности, про свойства, например, клея).
Харизма  Особая притягательность человека, авторитетность, обусловленная скорее метафизическими свойствами, чем интеллектуальными или нравственными качествами её обладателя.
Харпаксофобия  Боязнь разбойников и прочих криминальных элементов.
Хеджирование  Действия на рынке финансов с целью страхования потенциальных доходов и снижения рисков.
Хейтерство  Позиция с ярким проявлением неприятия и ненависти по отношению к какой-то персоне или явлению. Современный термин, пришедший из интерента.
Хилиазм  Вера в тысячелетнее царствование Христа после его второго пришествия.
Хипстер  Представитель молодежной субкультуры с характерным элитарным показушным поведением и подчеркнуто интеллектуальными пристрастиями в кино, музыке, изобразительном искусстве.
Хиротония  Рукоположение, возведение священника в сан.
Хорея  Болезненное непроизвольное сокращение мышц, «пляска св. Вита».
Хрематистика  Наука об обогащении, искусство накопления денег и материальных ценностей.
Хтонический  Нечто относящееся к подземному миру: божества, мифические существа и прочие силы «подземного царства».
Хэппенинг  Некая акция, как произведение искусства.
Цессия  Передача своих прав другому лицу.
Циклофрения  Маниакально-депрессивный психоз, при котором характерно циклическое изменения состояний (маний и депрессий).
Цугцванг  Вынужденный ход в шахматной партии, ухудшающий положение игрока, сделавшего его.
Читинг  Заимствование из английского языка, обозначающее обход или нарушение каких-то правил.
Шизофазия  Расстройство речи, характеризуемое правильной постановкой предложения, при этом с полным нарушением смысловой связи между словами.
Шизофрения  Психическое заболевание, проявляющееся изменением личности и душевной внутренней разлаженностью. Проявление и течение болезни – разнообразны.
Штрейкбрехерство  Предательство интересов. Штрейкбрехер – человек, согласившийся работать в период забастовки, тем самым, срывая ее.
Шугаринг  Косметическая процедура с использованием средств на основе сахара, например, эпиляция.
Эвдемонизм  Этическое учение считающие счастье высшей целью жизни, а стремление к счастью – основой нравственности.
Эвольвента  Плоская кривая, описываемая концом воображаемой гибкой нити, сматываемой с другой кривой – эволюты. В практике – линия зуба шестерёнки.
Эвристика  Область знаний, исследующая творческую деятельность.
Эвтаназия  Намеренное умерщвление неизлечимо больного с целью прекращения его страданий.
Эвфемизм  Приличное и допустимое выражение вместо грубого или нецензурного.
Эгалитаризм  Концепция тотальной уравнительности в обществе, в экономике – «всеобщее равенство», уравниловка. Противоречит базовым законам природы.
Эгрегор  Информационно-энергетическая субстанция, которой могут обладать люди, предметы, явления, находясь с * как в прямом взаимодействии, так и в обратном. Т.е. носитель Э. может «наполнять» его, но может и «питаться» от него. Термин из современной теософии.
Эйдетизм  Образная память о каком-либо предмете или явлении, сохраняющая яркие живые впечатления надолго.
Эйджизм  Дискриминация людей по возрастному признаку.
Эквайринг  Банковский сервис, осуществляющий прием к оплате платёжных карт
Экзальтация  Возбуждённое состояние, нездоровая активность.
